# Date:     2026-03-27 03:15:44
# Database: ocvs
# Target:   lmc_ecl
# Query:    TRUE  LIMIT 50000
# Objects:  40204
# Columns:
ID	Type	I	P
OGLE-LMC-ECL-00279	NC	17.963	13.49148010
OGLE-LMC-ECL-00280	NC	19.108	5.71693290
OGLE-LMC-ECL-00281	NC	19.362	5.20052030
OGLE-LMC-ECL-00282	NC	19.728	2.82649060
OGLE-LMC-ECL-00283	NC	17.705	22.23099030
OGLE-LMC-ECL-00284	NC	17.199	346.55508020
OGLE-LMC-ECL-00285	NC	19.140	0.87885110
OGLE-LMC-ECL-00286	NC	15.674	1.98694710
OGLE-LMC-ECL-00287	NC	18.146	7.76290960
OGLE-LMC-ECL-00288	NC	19.145	1.02830070
OGLE-LMC-ECL-00289	NC	15.939	120.25109140
OGLE-LMC-ECL-00290	NC	19.298	5.73703990
OGLE-LMC-ECL-00291	NC	18.223	2.34371320
OGLE-LMC-ECL-00292	NC	19.895	2.25052290
OGLE-LMC-ECL-00293	NC	17.954	262.68130010
OGLE-LMC-ECL-00294	NC	18.519	31.51602000
OGLE-LMC-ECL-00295	NC	17.518	2.15454510
OGLE-LMC-ECL-00296	NC	18.158	1.77349690
OGLE-LMC-ECL-00297	NC	18.923	7.17409720
OGLE-LMC-ECL-00298	NC	19.139	0.77659790
OGLE-LMC-ECL-00299	NC	19.430	14.01479660
OGLE-LMC-ECL-00300	NC	19.777	2.76599920
OGLE-LMC-ECL-00301	NC	19.742	0.83874980
OGLE-LMC-ECL-00302	NC	18.663	7.73765480
OGLE-LMC-ECL-00303	ELL	15.815	92.37306120
OGLE-LMC-ECL-00304	NC	18.882	1.11952250
OGLE-LMC-ECL-00305	NC	19.644	4.88839320
OGLE-LMC-ECL-00306	NC	18.959	4.19959450
OGLE-LMC-ECL-00307	NC	19.500	1.45235780
OGLE-LMC-ECL-00308	NC	18.755	10.95187590
OGLE-LMC-ECL-00309	NC	19.362	3.46893370
OGLE-LMC-ECL-00310	NC	19.259	3.35311950
OGLE-LMC-ECL-00311	NC	18.160	1.42753130
OGLE-LMC-ECL-00312	NC	19.229	4.85973040
OGLE-LMC-ECL-00313	NC	19.341	4.18803930
OGLE-LMC-ECL-00314	NC	18.450	2.01230480
OGLE-LMC-ECL-00315	NC	19.998	3.07761080
OGLE-LMC-ECL-00316	NC	17.332	24.98199040
OGLE-LMC-ECL-00317	NC	18.120	16.15400570
OGLE-LMC-ECL-00318	NC	19.146	7.28585820
OGLE-LMC-ECL-00319	NC	18.007	1.42111530
OGLE-LMC-ECL-00320	NC	17.866	1.16220760
OGLE-LMC-ECL-00321	NC	19.493	2.38443960
OGLE-LMC-ECL-00322	NC	19.581	2.86304200
OGLE-LMC-ECL-00323	NC	17.836	4.11234010
OGLE-LMC-ECL-00324	NC	18.625	7.77849040
OGLE-LMC-ECL-00325	NC	18.982	4.60160060
OGLE-LMC-ECL-00326	NC	19.703	1.27503080
OGLE-LMC-ECL-00327	NC	17.705	2.38930590
OGLE-LMC-ECL-00328	NC	18.711	2.91012210
OGLE-LMC-ECL-00329	NC	19.479	3.43900800
OGLE-LMC-ECL-00330	NC	19.244	5.63599170
OGLE-LMC-ECL-00331	NC	19.247	14.99826040
OGLE-LMC-ECL-00332	NC	18.285	17.77868770
OGLE-LMC-ECL-00333	NC	18.613	0.91002100
OGLE-LMC-ECL-00334	NC	18.496	57.18558270
OGLE-LMC-ECL-00335	NC	19.704	3.25219070
OGLE-LMC-ECL-00336	NC	18.945	8.81763270
OGLE-LMC-ECL-00337	NC	17.675	13.17911030
OGLE-LMC-ECL-00338	NC	17.316	2.12046720
OGLE-LMC-ECL-00339	NC	17.436	6.12995440
OGLE-LMC-ECL-00340	NC	19.667	4.30279040
OGLE-LMC-ECL-00341	NC	18.030	2.38118570
OGLE-LMC-ECL-00342	NC	18.851	2.15919990
OGLE-LMC-ECL-00343	NC	17.313	33.55215080
OGLE-LMC-ECL-00344	NC	17.190	1.56283010
OGLE-LMC-ECL-00345	NC	19.551	9.94612370
OGLE-LMC-ECL-00346	NC	18.485	4.37889500
OGLE-LMC-ECL-00347	NC	16.496	4.55411020
OGLE-LMC-ECL-00348	NC	18.534	0.73072730
OGLE-LMC-ECL-00349	NC	19.283	3.45470180
OGLE-LMC-ECL-00350	NC	18.493	2.37073040
OGLE-LMC-ECL-00351	NC	19.995	4.60437910
OGLE-LMC-ECL-00352	NC	18.097	1.64941550
OGLE-LMC-ECL-00353	NC	19.368	0.95519940
OGLE-LMC-ECL-00354	NC	19.316	13.99509760
OGLE-LMC-ECL-00355	NC	19.301	1.57685040
OGLE-LMC-ECL-00356	NC	18.191	2.80873150
OGLE-LMC-ECL-00357	NC	19.061	2.63841050
OGLE-LMC-ECL-00358	NC	19.549	1.11530170
OGLE-LMC-ECL-00359	NC	18.386	6.10042060
OGLE-LMC-ECL-00360	NC	18.904	18.88230080
OGLE-LMC-ECL-00361	NC	18.065	1.24569030
OGLE-LMC-ECL-00362	NC	19.644	2.99935090
OGLE-LMC-ECL-00363	NC	19.617	17.72971710
OGLE-LMC-ECL-00364	NC	19.667	1.32135750
OGLE-LMC-ECL-00365	NC	17.455	2.65069230
OGLE-LMC-ECL-00366	NC	18.951	0.81459850
OGLE-LMC-ECL-00367	NC	19.222	5.15608500
OGLE-LMC-ECL-00368	NC	18.024	8.10494020
OGLE-LMC-ECL-00369	NC	16.197	190.98417270
OGLE-LMC-ECL-00370	NC	17.973	22.33676650
OGLE-LMC-ECL-00371	NC	17.590	1.89247640
OGLE-LMC-ECL-00372	NC	19.237	4.38931600
OGLE-LMC-ECL-00373	NC	18.624	3.96882750
OGLE-LMC-ECL-00374	NC	16.872	2.36659880
OGLE-LMC-ECL-00375	NC	18.144	4.58896020
OGLE-LMC-ECL-00376	NC	17.543	6.91128050
OGLE-LMC-ECL-00377	NC	19.675	1.08114730
OGLE-LMC-ECL-00378	NC	19.209	9.86939910
OGLE-LMC-ECL-00379	NC	19.146	2.83829850
OGLE-LMC-ECL-00380	NC	18.996	5.89181020
OGLE-LMC-ECL-00381	NC	17.075	3.13143050
OGLE-LMC-ECL-00382	NC	17.648	44.73743780
OGLE-LMC-ECL-00383	NC	16.663	15.58020630
OGLE-LMC-ECL-00384	NC	19.634	5.92531790
OGLE-LMC-ECL-00385	NC	18.697	22.72533490
OGLE-LMC-ECL-00386	NC	17.826	25.53040610
OGLE-LMC-ECL-00387	NC	19.450	3.23040050
OGLE-LMC-ECL-00388	NC	18.127	23.08982310
OGLE-LMC-ECL-00389	NC	19.649	7.24436890
OGLE-LMC-ECL-00390	NC	17.774	19.21739680
OGLE-LMC-ECL-00391	NC	18.287	2.00936190
OGLE-LMC-ECL-00392	NC	18.584	11.98526090
OGLE-LMC-ECL-00393	NC	18.575	5.39815060
OGLE-LMC-ECL-00394	NC	17.185	334.05063000
OGLE-LMC-ECL-00395	NC	18.069	19.71860070
OGLE-LMC-ECL-00396	NC	18.746	7.27049360
OGLE-LMC-ECL-00397	NC	19.270	4.50738130
OGLE-LMC-ECL-00398	NC	16.703	4.10876700
OGLE-LMC-ECL-00399	NC	17.647	34.59362070
OGLE-LMC-ECL-00400	ELL	18.176	179.26130000
OGLE-LMC-ECL-00401	NC	19.104	0.91712420
OGLE-LMC-ECL-00402	NC	19.245	1.32341360
OGLE-LMC-ECL-00403	NC	18.886	4.41109390
OGLE-LMC-ECL-00404	NC	19.115	0.97711920
OGLE-LMC-ECL-00405	NC	19.575	3.32593960
OGLE-LMC-ECL-00406	NC	15.440	4.87612640
OGLE-LMC-ECL-00407	NC	19.222	3.84352850
OGLE-LMC-ECL-00408	NC	18.449	1.75795620
OGLE-LMC-ECL-00409	NC	18.377	1.69465720
OGLE-LMC-ECL-00410	NC	19.078	6.29983840
OGLE-LMC-ECL-00411	NC	19.097	2.04402710
OGLE-LMC-ECL-00412	NC	19.562	4.03625490
OGLE-LMC-ECL-00413	NC	18.526	8.58194830
OGLE-LMC-ECL-00414	NC	18.352	3.18396040
OGLE-LMC-ECL-00415	NC	19.259	2.79091490
OGLE-LMC-ECL-00416	NC	19.757	2.76680720
OGLE-LMC-ECL-00417	NC	19.493	2.68361770
OGLE-LMC-ECL-00418	NC	18.364	94.95478020
OGLE-LMC-ECL-00419	NC	19.637	0.72789170
OGLE-LMC-ECL-00420	NC	19.355	5.02033320
OGLE-LMC-ECL-00421	NC	17.658	2.78088990
OGLE-LMC-ECL-00422	NC	18.347	2.34796050
OGLE-LMC-ECL-00423	NC	19.622	8.06173130
OGLE-LMC-ECL-00424	NC	18.860	5.37394060
OGLE-LMC-ECL-00425	NC	16.925	1.97850440
OGLE-LMC-ECL-00426	NC	17.519	2.55712650
OGLE-LMC-ECL-00427	NC	18.443	3.36262000
OGLE-LMC-ECL-00428	NC	19.184	1.08595030
OGLE-LMC-ECL-00429	NC	19.455	4.71216180
OGLE-LMC-ECL-00430	NC	16.640	3.02829080
OGLE-LMC-ECL-00431	NC	19.104	1.29148400
OGLE-LMC-ECL-00432	NC	19.542	1.74317470
OGLE-LMC-ECL-00433	NC	19.527	6.53072930
OGLE-LMC-ECL-00434	NC	18.657	1.15180360
OGLE-LMC-ECL-00435	NC	18.738	2.03345360
OGLE-LMC-ECL-00436	NC	17.669	5.65821020
OGLE-LMC-ECL-00437	NC	19.184	4.02579700
OGLE-LMC-ECL-00438	NC	18.302	2.16891820
OGLE-LMC-ECL-00439	NC	18.763	22.51150080
OGLE-LMC-ECL-00440	NC	18.407	4.16187710
OGLE-LMC-ECL-00441	NC	17.478	509.61041020
OGLE-LMC-ECL-00442	NC	15.432	3.41096080
OGLE-LMC-ECL-00443	NC	19.306	2.93520900
OGLE-LMC-ECL-00444	NC	18.154	2.26185750
OGLE-LMC-ECL-00445	NC	19.242	3.81433520
OGLE-LMC-ECL-00447	NC	19.391	4.46038060
OGLE-LMC-ECL-00448	NC	19.439	6.09006650
OGLE-LMC-ECL-00449	NC	13.916	4.68674540
OGLE-LMC-ECL-00450	NC	17.767	5.58060250
OGLE-LMC-ECL-00451	NC	18.902	6.79863000
OGLE-LMC-ECL-00453	NC	18.678	9.79775310
OGLE-LMC-ECL-00454	NC	18.337	3.22462110
OGLE-LMC-ECL-00455	NC	18.590	7.77388090
OGLE-LMC-ECL-00456	NC	19.567	2.94872480
OGLE-LMC-ECL-00457	NC	17.295	18.92111070
OGLE-LMC-ECL-00458	ELL	15.681	186.09596330
OGLE-LMC-ECL-00459	NC	18.818	14.30236030
OGLE-LMC-ECL-00460	ELL	16.910	5.65919400
OGLE-LMC-ECL-00461	NC	18.857	8.04740360
OGLE-LMC-ECL-00462	NC	19.226	3.32669790
OGLE-LMC-ECL-00463	NC	19.550	1.72458490
OGLE-LMC-ECL-00464	NC	18.518	10.32000060
OGLE-LMC-ECL-00465	NC	18.013	53.83233060
OGLE-LMC-ECL-00466	NC	17.426	15.26543080
OGLE-LMC-ECL-00467	NC	18.580	3.62849340
OGLE-LMC-ECL-00468	NC	17.899	1.01428330
OGLE-LMC-ECL-00469	ELL	17.516	18.71834700
OGLE-LMC-ECL-00470	NC	19.078	1.41451650
OGLE-LMC-ECL-00471	NC	19.765	4.49106490
OGLE-LMC-ECL-00472	NC	18.107	56.83781740
OGLE-LMC-ECL-00473	NC	19.281	5.66020060
OGLE-LMC-ECL-00474	NC	19.418	48.15629070
OGLE-LMC-ECL-00475	NC	18.111	1.33419110
